Produkt,n,cor_mom_cpi
Fertignahrung für Säuglinge oder Kleinkinder,65,-0.11474393512250135
Trockenobst,65,0.1147307204349341
"Roher Schinken, Schinkenspeck oder Bauchspeck",59,0.11224753499392402
Tomaten,65,0.11022751034703326
Kaninchenfleisch oder anderes Wildfleisch,65,0.1051805607746248
Gurken,65,-0.10216032009851056
Reiszubereitung,59,0.10171706454485209
Nudelfertiggericht,65,0.09899315977196341
Butter,65,-0.09863741391837046
"Süße Mandeln, Kokosraspeln oder Ähnliches",59,-0.09798541403405216
Fertiggericht aus Fleisch oder Fisch,65,0.09733131091537445
Schnittkäse,65,0.09687809223305184
Möhren,65,0.09597405129897195
Kartoffeln,65,0.0951041813596232
"Kürbisse, Auberginen oder Mais",65,-0.09427455378884003
Schmalz oder anderes tierisches Speisefett,65,0.09341085791981982
Champignons oder andere Pilze,65,0.09002011939661199
Backmischung für Kuchen,59,0.08511887078016342
Gekochter Schinken oder anderes gegartes Fleisch,65,0.08442376012714158
"Gemüseprodukt, vegetarisch oder vegan",65,0.07649779672823245
Hartkäse,65,0.07140130080507977
Früchtetee oder Kräutertee,59,0.06894567177725451
Zucker,65,0.06660903144946426
Olivenöl,65,0.05910845804723143
Wurstaufschnitt,65,0.05598993073030032
Kopfsalat oder Eisbergsalat,65,0.05298173628730496
Tiefgefrorene Küchenkräuter,59,0.05234362602319544
Sportriegel,65,0.05159185084697387
Dosensuppe,65,0.050821929452394665
"Tortenguss, Gelatine oder Ähnliches",65,-0.04247422756943891
Energy-Drinks,59,0.04163631354845367
Buttergemüse oder anderes tiefgefrorenes Gemüse,59,0.041012676250879204
Bratwurst,65,0.04041397993885555
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",65,0.038170134362826146
"Blumenkohl, Wirsing oder anderer Kohl",65,-0.03545173076285501
Sauerkrautkonserve,65,0.03277353583992058
Orangensaft oder ähnlicher Fruchtsaft,65,0.028299241898815063
Mineralwasser ohne Kohlensäure,65,0.025860614565676603
Schwarzer Tee oder grüner Tee,59,0.024852946479438472
"Zwiebeln, Knoblauch oder Ähnliches",65,0.023626162069645545
"Pfirsiche, Kirschen o.a. Stein- oder Kernobst",65,0.01955134096514223
Fertigsuppe im Beutel oder Instantbrühe,59,-0.01790866333022647
Kartoffelkloßmehl oder Kartoffelpüree,65,-0.016035607336210504
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",59,0.004614718087932045
"Meeresfrüchte, frisch oder gekühlt",65,0.001488643642509714
