term,estimate,std.error,statistic,p.value
(Intercept),103.06831137955218,0.5968929202218992,172.67470912745256,0
t,0.2514682185576219,0.015277699584728008,16.45982218481349,3.81005325142422e-60
Monat_fakt2,0.9110189345770497,0.48629734646407385,1.8733783788893303,0.06104301242433041
Monat_fakt3,1.0596534909421964,0.4870167692100398,2.1758049371913737,0.02959135409955114
Monat_fakt4,1.7077741726930242,0.48821345128417615,3.4980072101679434,4.7062568454606384e-4
Monat_fakt5,1.863602973662676,0.4898838951700928,3.8041727683569055,1.4305963267193596e-4
Monat_fakt6,1.965988814714457,0.4920232755555741,3.9957231951974967,6.492331101401638e-5
Monat_fakt7,1.7437116614710404,0.508498183216745,3.4291403962161087,6.077477655858452e-4
Monat_fakt8,1.7073624905324347,0.5104553331612747,3.3447833328700005,8.262599252765794e-4
Monat_fakt9,1.9625609386414609,0.5128603203407731,3.8266967842967956,1.306030967534306e-4
Monat_fakt10,2.1850212915123857,0.5157068793573472,4.236944239012809,2.2845422296418035e-5
Monat_fakt11,2.555219739621574,0.5189877444238707,4.923468361392865,8.627549127400225e-7
Monat_fakt12,2.7537515210637813,0.5226947374108827,5.268374299508391,1.4027431988930203e-7
PeriodeHochinflation,9.246811153263952,0.40142548470284684,23.034938003771376,1.1414584641609847e-114
PeriodeNormalisierung,22.005662508801993,0.6353830386781673,34.63369521884302,2.1599668834272138e-249
KategorieFleisch & Wurst,-0.42411591395014014,0.48682460890071777,-0.8711883216171467,0.38367060903559447
KategorieGemüse & Gemüsekonserven,-0.2375785926951539,0.49435458817993666,-0.48058336743641056,0.63082232760845
KategorieGetreide & Backwaren,2.6937628349537834,0.49476783959883663,5.444498650393116,5.3083383330681185e-8
"KategorieKaffee, Tee & Kakao",-3.667640670067167,0.6898009034317782,-5.316955445869316,1.0761333465580791e-7
KategorieMilch & Milchgetränke,2.4088345531992026,0.5556423272575376,4.335225081012807,1.4692421091458651e-5
KategorieObst & Obstkonserven,-4.0895876261997675,0.5312211499087796,-7.698465369652592,1.4967792894935202e-14
KategorieÖle & Fette,8.962335492523177,0.7517824852809207,11.921447583570925,1.4608774504131738e-32
KategorieSäfte & Softdrinks,-2.8651370458653744,0.6051890781662216,-4.734284125792558,2.226109728725288e-6
KategorieSonstige Nahrungsmittel,-0.0066247435572985396,0.5069250360133895,-0.01306848761978203,0.9895733925405368
KategorieZucker & Süßwaren,-1.0844794952261005,0.5678785770748064,-1.9097031284616368,0.05619778870650377
Risikogruppemittel,-6.636401946585012,0.2697534720013857,-24.601729487844818,4.258525986356667e-130
Risikogruppestabil,-12.341816956518729,0.26978868598122546,-45.746236213098996,0
