Produkt,Kategorie,Monat,mean_idx,jahres_mean,abweichung,saison_range
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,Aug,113.25999999999999,115.37972222222223,-2.1197222222222365,5.540000000000006
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,Sep,114.44,115.37972222222223,-0.9397222222222297,5.540000000000006
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,Okt,113.6,115.37972222222223,-1.779722222222233,5.540000000000006
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,Nov,114.5,115.37972222222223,-0.8797222222222274,5.540000000000006
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,Dez,114.22,115.37972222222223,-1.1597222222222285,5.540000000000006
Backmischung für Kuchen,Getreide & Backwaren,Jan,109.48,111.58833333333334,-2.1083333333333343,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Feb,108.26,111.58833333333334,-3.328333333333333,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Mrz,109.08,111.58833333333334,-2.50833333333334,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Apr,110.28,111.58833333333334,-1.3083333333333371,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Mai,110.53999999999999,111.58833333333334,-1.0483333333333462,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Jun,110.9,111.58833333333334,-0.6883333333333326,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Jul,112.24,111.58833333333334,0.6516666666666566,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Aug,112.74000000000001,111.58833333333334,1.1516666666666708,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Sep,113.58,111.58833333333334,1.99166666666666,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Okt,113.72,111.58833333333334,2.1316666666666606,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Nov,114.3,111.58833333333334,2.711666666666659,6.039999999999992
Backmischung für Kuchen,Getreide & Backwaren,Dez,113.94,111.58833333333334,2.3516666666666595,6.039999999999992
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Jan,126.21666666666667,127.67555555555555,-1.458888888888879,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Feb,125.1,127.67555555555555,-2.575555555555553,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Mrz,125.4,127.67555555555555,-2.275555555555542,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Apr,127.15,127.67555555555555,-0.5255555555555418,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Mai,128.61666666666667,127.67555555555555,0.9411111111111268,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Jun,129.18333333333334,127.67555555555555,1.5077777777777897,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Jul,126.38,127.67555555555555,-1.295555555555552,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Aug,128.42,127.67555555555555,0.74444444444444,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Sep,129.06,127.67555555555555,1.3844444444444548,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Okt,128.38,127.67555555555555,0.704444444444448,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Nov,128,127.67555555555555,0.32444444444445253,5.099999999999994
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,Dez,130.2,127.67555555555555,2.524444444444441,5.099999999999994
Bananen,Obst & Obstkonserven,Jan,105.7,109.21527777777777,-3.5152777777777686,6.11666666666666
Bananen,Obst & Obstkonserven,Feb,111.08333333333333,109.21527777777777,1.8680555555555571,6.11666666666666
Bananen,Obst & Obstkonserven,Mrz,111.41666666666666,109.21527777777777,2.2013888888888857,6.11666666666666
Bananen,Obst & Obstkonserven,Apr,111.81666666666666,109.21527777777777,2.6013888888888914,6.11666666666666
Bananen,Obst & Obstkonserven,Mai,111.11666666666667,109.21527777777777,1.9013888888889028,6.11666666666666
Bananen,Obst & Obstkonserven,Jun,111.35,109.21527777777777,2.134722222222223,6.11666666666666
Bananen,Obst & Obstkonserven,Jul,108.98,109.21527777777777,-0.23527777777776748,6.11666666666666
Bananen,Obst & Obstkonserven,Aug,108.16,109.21527777777777,-1.0552777777777749,6.11666666666666
Bananen,Obst & Obstkonserven,Sep,107.92,109.21527777777777,-1.2952777777777698,6.11666666666666
Bananen,Obst & Obstkonserven,Okt,107.2,109.21527777777777,-2.0152777777777686,6.11666666666666
Bananen,Obst & Obstkonserven,Nov,107.08,109.21527777777777,-2.135277777777773,6.11666666666666
Bananen,Obst & Obstkonserven,Dez,108.75999999999999,109.21527777777777,-0.45527777777778056,6.11666666666666
Birnen,Obst & Obstkonserven,Jan,102.5,103.69416666666666,-1.1941666666666606,5.340000000000003
Birnen,Obst & Obstkonserven,Feb,102.61666666666667,103.69416666666666,-1.0774999999999864,5.340000000000003
Birnen,Obst & Obstkonserven,Mrz,102.33333333333333,103.69416666666666,-1.360833333333332,5.340000000000003
Birnen,Obst & Obstkonserven,Apr,105.05,103.69416666666666,1.3558333333333366,5.340000000000003
Birnen,Obst & Obstkonserven,Mai,104.45,103.69416666666666,0.7558333333333422,5.340000000000003
Birnen,Obst & Obstkonserven,Jun,106.2,103.69416666666666,2.5058333333333422,5.340000000000003
Birnen,Obst & Obstkonserven,Jul,106.48,103.69416666666666,2.7858333333333434,5.340000000000003
Birnen,Obst & Obstkonserven,Aug,105.02,103.69416666666666,1.3258333333333354,5.340000000000003
Birnen,Obst & Obstkonserven,Sep,101.14,103.69416666666666,-2.55416666666666,5.340000000000003
Birnen,Obst & Obstkonserven,Okt,101.5,103.69416666666666,-2.1941666666666606,5.340000000000003
Birnen,Obst & Obstkonserven,Nov,104.3,103.69416666666666,0.6058333333333366,5.340000000000003
Birnen,Obst & Obstkonserven,Dez,102.74,103.69416666666666,-0.9541666666666657,5.340000000000003
