Modell,r.squared,adj.r.squared,AIC,BIC,df.residual
M1: t,0.5407198069571504,0.5406775781788272,86546.70647800883,86568.58997104877,10876
M2: + Saison,0.5422128327465925,0.5417072233580016,86533.28672676718,86635.40969428694,10865
M3: + Periode,0.57657245517071265,0.5760267508875856,85688.563814102,85805.27577698173,10863
M4: + Kategorie,0.6236222722104147,0.622789961746308,84427.25312974183,84616.91006942138,10853
M5: + Risikogruppe,0.6845941286224412,0.683838386971366,82508.75216168631,82712.99809672583,10851
