Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Knäckebrot oder Zwieback,66,-0.5508096900895342,0.5938714581243731,11.573198821551564,-91.78885630498532,6.422018348623837,99.4,14,-85.91549295774648,Getreide & Backwaren
"Muffins, Waffeln oder andere Dauerbackwaren",66,-0.8825837300891222,0.397919185403417,11.291691301987052,-90.62049062049064,4.7951176983435095,100.9,13,-87.11595639246778,Getreide & Backwaren
Kekse,66,-0.5223191494800433,0.5818888505783271,11.804517382712008,-93.29608938547486,10.260336906584987,101.2,12,-88.14229249011858,Getreide & Backwaren
"Kuchen, Torte oder Tortenboden, frisch",66,-0.8916893156532459,0.41950466095956873,11.4287368733538,-92.057761732852,2.8037383177569986,99.7,11,-88.96690070210632,Getreide & Backwaren
"Kuchen oder Torte, tiefgefroren",66,-0.7716803771241347,0.4076702192280069,11.677267466301114,-93.45549738219894,5.4657428791377924,100.7,10,-90.0695134061569,Getreide & Backwaren
Hefegebäck,60,-1.0886006883181116,0.467152063542875,12.09937505952591,-93.12452253628724,2.2045855379188684,99.3,9,-90.93655589123868,Getreide & Backwaren
Frisches Brötchen,66,-0.9565649500539828,0.2291078575574423,11.675380172803246,-94.13919413919412,3.623813632441753,100.4,8,-92.03187250996017,Getreide & Backwaren
Brötchen zum Fertigbacken,66,-0.81296148604022,0.3969347633221432,11.897207857233838,-95.36730641958968,5.11744966442953,100.3,7,-93.02093718843469,Getreide & Backwaren
Körnerbrot oder Vollkornbrot,66,-0.9868945793702162,0.3758495810710749,11.864528404508862,-95.5456570155902,4.265791632485638,99.8,6,-93.9879759519038,Getreide & Backwaren
Roggenbrot oder Mischbrot,66,-0.9818460949682688,0.3360828223465506,11.945627416466786,-96.33431085043988,3.133640552995387,99.8,5,-94.98997995991984,Getreide & Backwaren
Weißbrot,66,-1.0081699835803353,0.29688629299049474,12.041288645884611,-97.07174231332355,4.061738424045491,101,4,-96.03960396039604,Getreide & Backwaren
"Grieß, Roggenmehl oder Ähnliches",66,-0.9392273001448868,0.2070823078049844,12.270133457617858,-97.90648988136776,12.135465663217303,101.3,3,-97.03849950641658,Getreide & Backwaren
Weizenmehl,66,-0.8085228736361326,0.05060728744940013,12.780687801972212,-98.68507560815252,18.795355587808405,100.9,2,-98.01783944499503,Getreide & Backwaren
Reiszubereitung,60,-1.0855754255003556,0.32697730156492355,12.955915632480083,-99.28520371694069,4.105344694035651,100,1,-99,Getreide & Backwaren
Reis,66,-0.9816612726731536,0.3627537585642826,12.456426343448385,-100,5.26770293609673,99.6,0,-100,Getreide & Backwaren
