term,estimate,std.error,statistic,p.value
(Intercept),96.75942291148985,0.4476755224934558,216.1373987404109,0
t,0.2627509497144458,0.017685862238413615,14.856553001060467,1.9262906088821668e-49
Monat_fakt2,0.8997362034202205,0.5631400482531728,1.5977130488430884,0.11013593853887253
Monat_fakt3,1.0370880286285487,0.563972590748797,1.8388979280918376,0.06595747959297422
Monat_fakt4,1.6739259792225507,0.565357437141771,2.9608277334871094,0.0030747678988549323
Monat_fakt5,1.8184720490353727,0.567290542661637,3.2055391590055264,0.001351996779684217
Monat_fakt6,1.9095751589303347,0.5697663269283156,3.351505816823368,8.06475161069156e-4
Monat_fakt7,1.6399105348282828,0.5888340057584587,2.785013295412457,0.005361821071257385
Monat_fakt8,1.592278632732838,0.5910970139043432,2.6937686966398973,0.007075769809535566
Monat_fakt9,1.8361943496850328,0.5938783148103087,3.09186967076165,0.00199403947820841
Monat_fakt10,2.0473719713991416,0.5971706667305946,3.428453682442486,6.092831736920577e-4
Monat_fakt11,2.406287688351493,0.6009656704432158,4.004035183202464,6.268543735804723e-5
Monat_fakt12,2.593536738636854,0.6052538709874187,4.285039489967617,1.8428089205712245e-5
PeriodeHochinflation,9.04372199244111,0.46478372450897376,19.457914542931675,6.385474154858215e-83
PeriodeNormalisierung,21.644615111783583,0.7356370975081034,29.42295213917642,3.783343041165478e-183
