Produkt,Kategorie
Roggenbrot oder Mischbrot,Getreide & Backwaren
"Roher Schinken, Schinkenspeck oder Bauchspeck",Fleisch & Wurst
Räucherfisch,Fisch & Meeresfrüchte
Sahne,Milch & Milchgetränke
"Salami, Zervelatwurst oder andere Dauerwurst",Fleisch & Wurst
Salzgebäck,Getreide & Backwaren
"Sandwich, Wrap oder Ähnliches",Sonstige Nahrungsmittel
Sauerkirschen oder andere Steinobstkonserve,Obst & Obstkonserven
Sauerkrautkonserve,Gemüse & Gemüsekonserven
Schmalz oder anderes tierisches Speisefett,Öle & Fette
Schnittkäse,Milch & Milchgetränke
Schokoladentafel,Zucker & Süßwaren
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",Fisch & Meeresfrüchte
Schwarzer Tee oder grüner Tee,"Kaffee, Tee & Kakao"
Schweinebraten,Fleisch & Wurst
"Schweinehackfleisch, auch gemischt",Fleisch & Wurst
Schweinekotelett oder Schweineschnitzel,Fleisch & Wurst
Senf,Sonstige Nahrungsmittel
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",Milch & Milchgetränke
"Sonnenblumenöl, Rapsöl oder Ähnliches",Öle & Fette
"Soßenpulver, Soßenbinder oder Ähnliches",Sonstige Nahrungsmittel
Speiseeis,Zucker & Süßwaren
Speisesalz,Sonstige Nahrungsmittel
Sportriegel,Sonstige Nahrungsmittel
Stangenspargel oder andere Gemüsekonserve,Gemüse & Gemüsekonserven
"Säuglingsmilchnahrung, Pulverform",Sonstige Nahrungsmittel
"Süße Mandeln, Kokosraspeln oder Ähnliches",Obst & Obstkonserven
Süßstoff,Zucker & Süßwaren
Teilentrahmte Milch,Milch & Milchgetränke
Tiefgefrorene Küchenkräuter,Sonstige Nahrungsmittel
Tiefgefrorene Meeresfrüchte,Fisch & Meeresfrüchte
Tiefgefrorener Spinat,Gemüse & Gemüsekonserven
Tiefgefrorenes Fischfilet,Fisch & Meeresfrüchte
Tiefgefrorenes Geflügelfleisch,Fleisch & Wurst
Tiefgefrorenes Obst,Obst & Obstkonserven
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",Fleisch & Wurst
Toastbrot,Getreide & Backwaren
Tomaten,Gemüse & Gemüsekonserven
Tomatenketchup oder Gewürzketchup,Sonstige Nahrungsmittel
"Tortenguss, Gelatine oder Ähnliches",Sonstige Nahrungsmittel
Trockengemüse,Gemüse & Gemüsekonserven
Trockenobst,Obst & Obstkonserven
Verzehrfertige Salate,Sonstige Nahrungsmittel
"Vitamintabletten, Magnesiumtabletten o.Ä.",Sonstige Nahrungsmittel
Vollmilch,Milch & Milchgetränke
Weichkäse,Milch & Milchgetränke
Weintrauben,Obst & Obstkonserven
Weizenmehl,Getreide & Backwaren
Weißbrot,Getreide & Backwaren
Wurstaufschnitt,Fleisch & Wurst
Wurstkonserve,Fleisch & Wurst
Zitrusfrüchte,Obst & Obstkonserven
Zubereitetes Hackfleisch,Fleisch & Wurst
Zucker,Zucker & Süßwaren
"Zwiebeln, Knoblauch oder Ähnliches",Gemüse & Gemüsekonserven
Äpfel,Obst & Obstkonserven
