Produkt,Kategorie,Risikogruppe,preisanstieg_pct,modell,aic,bic,rmse,mae,mape
Fertiggericht aus Fleisch oder Fisch,Sonstige Nahrungsmittel,stabil,27.464788732394354,"ARIMA(0,1,0) with drift",-790.8334957344881,-786.8929119073839,3.9383289407563806,3.5128168758129292,2.7811609550005825
Fertignahrung für Säuglinge oder Kleinkinder,Sonstige Nahrungsmittel,mittel,40.22988505747125,"ARIMA(1,1,0) with drift",-803.381948422097,-797.4710726814407,2.2112471907548783,1.536933555270006,1.1551514435808097
Fertigsuppe im Beutel oder Instantbrühe,Sonstige Nahrungsmittel,stabil,25.251509054325936,"ARIMA(0,1,0)(1,0,0)[12]",-644.3216262922697,-640.6213310888496,3.051175347034739,2.728588439734916,2.235680443468009
"Fischfilet, frisch oder gekühlt",Fisch & Meeresfrüchte,mittel,32.20675944333997,"ARIMA(0,1,3)(1,0,0)[12]",463.29165340906644,473.14311297682707,3.2208889989177614,2.742758866712711,2.0722299154875032
Fischkonserve,Fisch & Meeresfrüchte,mittel,35.31157270029674,"ARIMA(0,1,3) with drift",-750.8809181539773,-741.0294585862167,5.418348459602085,5.100684431771124,3.8189274299600657
Fischmarinade,Fisch & Meeresfrüchte,mittel,37.37864077669904,"ARIMA(0,2,1)",-699.4573182213246,-695.8000354283464,2.2226802966539063,1.898479694744213,1.3734486501877967
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,Fisch & Meeresfrüchte,mittel,31.46853146853148,"ARIMA(1,1,0)",-723.3105424825968,-719.3699586554926,4.889036790304814,4.136029411141355,3.086066562887439
"Fleischfertiggericht ohne Beilage, konserviert",Fleisch & Wurst,stabil,29.06155398587287,"ARIMA(2,1,0) with drift",-650.6868681318916,-642.8057004776831,4.01235900692076,3.456066413510625,2.724302277696762
Fleischwurst,Fleisch & Wurst,stabil,27.648839556004035,"ARIMA(0,1,0) with drift",-624.3869797210014,-620.6866845175813,5.996382431864798,5.336698057052865,4.221547888298552
Frisches Brötchen,Getreide & Backwaren,mittel,35.95617529880477,"ARIMA(1,1,1)",492.7228273840448,498.6337031247012,1.4511192805611435,1.2067659471252128,0.8900316782044128
Frisches Geflügelfleisch,Fleisch & Wurst,hoch,41.492537313432834,"ARIMA(1,1,0)",735.1638670863244,739.10445091342865,1.7265056777192918,1.330056452820725,0.9602848027214382
Frischkäse,Milch & Milchgetränke,mittel,40.13875123885033,"ARIMA(3,1,0)",-663.7044128784822,-655.8232452242737,2.9004525272470354,2.6177573420756937,1.8733422162343107
Früchtetee oder Kräutertee,"Kaffee, Tee & Kakao",stabil,23.76636455186305,"ARIMA(0,1,0)(1,0,0)[12]",-683.7102266825543,-680.0099314791343,3.2761600291245987,2.988080845269902,2.4507010484952607
Gekochter Schinken oder anderes gegartes Fleisch,Fleisch & Wurst,stabil,19.815195071868573,"ARIMA(0,1,0) with drift",682.5340008423983,686.4745846695025,1.4269248217024304,1.1773277911776934,1.0166699278113618
"Gemüseprodukt, vegetarisch oder vegan",Gemüse & Gemüsekonserven,stabil,10.717797443461151,"ARIMA(3,1,0)",-771.0372541161848,-763.1560864619763,2.5338920960721407,2.2431455029403424,1.9999115613155503
Gemüsesaft,Säfte & Softdrinks,mittel,41.076769690927215,"ARIMA(0,2,1)(0,0,1)[12]",597.5560820262289,603.0420062156961,3.213617139059748,3.038435885759623,2.1801730163171755
"Getreideprodukt, vegetarisch oder vegan",Getreide & Backwaren,stabil,10.166177908113404,"ARIMA(0,1,0)(0,0,1)[12]",-86.3428728140204,-82.40228898691615,3.3866938868738683,3.039205654614039,2.7290620432946002
