Produkt,Kategorie,Risikogruppe,preisanstieg_pct,modell,aic,bic,rmse,mae,mape
"Säuglingsmilchnahrung, Pulverform",Sonstige Nahrungsmittel,stabil,24.42442442442441,"ARIMA(1,1,1)",-849.8159386692015,-843.9050629285451,2.686190548653825,2.605288769910261,2.102676663075437
"Süße Mandeln, Kokosraspeln oder Ähnliches",Obst & Obstkonserven,stabil,12.942366026289177,"ARIMA(0,1,0)",0.3024440420714427,2.152591643781501,2.4216041515216182,2.0250000000000177,1.8437473841511183
Süßstoff,Zucker & Süßwaren,stabil,10.717797443461151,"ARIMA(1,1,0)",-688.0518243285156,-684.1112405014114,1.0209120704403927,0.9881938878274342,0.8772857057287328
Teilentrahmte Milch,Milch & Milchgetränke,hoch,45.854657113613094,"ARIMA(1,1,0)",640.0814529475626,644.0220367746668,5.156872437178648,4.9833333333332845,3.5361286529219162
Tiefgefrorene Küchenkräuter,Sonstige Nahrungsmittel,stabil,25.6206554121152,"ARIMA(0,2,1)",576.9333282981894,580.5906110911676,4.409858118118788,4.102974104532161,3.2648381610583863
Tiefgefrorene Meeresfrüchte,Fisch & Meeresfrüchte,stabil,4.5409674234945685,"ARIMA(1,1,2)",-810.9827860365762,-803.1016183823676,2.296218658845637,1.9978740919536253,1.878991554299335
Tiefgefrorener Spinat,Gemüse & Gemüsekonserven,hoch,64.00817995910022,"ARIMA(0,1,0)(0,0,1)[12] with drift",-752.968396685738,-747.0575209450816,7.6989042295709815,6.526188441178344,4.1427682668403065
Tiefgefrorenes Fischfilet,Fisch & Meeresfrüchte,stabil,29.058116232464947,"ARIMA(1,1,1)",-773.4732207019689,-767.5623449613125,1.1408677629350816,1.0608935486163003,0.8209038958408922
Tiefgefrorenes Geflügelfleisch,Fleisch & Wurst,hoch,57.38522954091814,"ARIMA(1,1,0) with drift",466.3586092800743,472.26948502073066,3.3831257537661954,3.177283416186583,2.078834058873404
Tiefgefrorenes Obst,Obst & Obstkonserven,stabil,29.18756268806419,"ARIMA(1,1,1)",754.3782961569702,760.2891718976266,9.604043836472805,8.834161252002167,7.058388580308838
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",Fleisch & Wurst,hoch,59.89949748743717,"ARIMA(2,1,0) with drift",-216.03081365268872,-208.14964599848022,1.7463444604837042,1.4391493228858632,0.9207017978552997
Toastbrot,Getreide & Backwaren,mittel,35.01984126984128,"ARIMA(1,1,1)",-722.6570217831207,-716.7461460424644,3.895605929886467,2.6168986993749,1.8728591004807633
Tomaten,Gemüse & Gemüsekonserven,stabil,-12.883435582822075,"ARIMA(0,1,0)(1,1,0)[12]",-416.4606764220686,-413.03353228866,13.219255253310092,10.96986887209051,8.693626972079004
Tomatenketchup oder Gewürzketchup,Sonstige Nahrungsmittel,hoch,44.181459566074935,"ARIMA(1,1,2)",-716.9826648586235,-709.101497204415,10.586534092422738,8.807800102165727,5.866072580431091
"Tortenguss, Gelatine oder Ähnliches",Sonstige Nahrungsmittel,stabil,27.86069651741294,"ARIMA(0,1,2) with drift",-733.9778426697736,-726.0966750155651,9.937522186953322,8.37958488364123,6.557113914185011
Trockengemüse,Gemüse & Gemüsekonserven,stabil,22.10953346855986,"ARIMA(0,1,1) with drift",-694.7082340266759,-689.1577912215457,3.3676319018187586,2.9023743638062762,2.4172459369432535
Trockenobst,Obst & Obstkonserven,mittel,32.35294117647059,"ARIMA(1,1,1)",-752.9066153083178,-746.9957395676614,13.902710401842931,13.200012404608207,10.35471215538089
Verzehrfertige Salate,Sonstige Nahrungsmittel,stabil,26.96850393700787,"ARIMA(1,1,0) with drift",-767.5525244050798,-761.6416486644234,3.778223844165598,3.3451858420551246,2.5991373135692837
"Vitamintabletten, Magnesiumtabletten o.Ä.",Sonstige Nahrungsmittel,stabil,11.2966601178782,"ARIMA(1,1,0) with drift",-716.1166052444444,-710.5661624393142,2.326359377316727,2.0919623155974634,1.8492407595882085
Vollmilch,Milch & Milchgetränke,mittel,41.08053007135577,"ARIMA(1,1,0)",309.98760373543917,313.9281875625434,6.756602703840263,6.368069879085783,4.683875145448865
Weichkäse,Milch & Milchgetränke,hoch,42.78656126482212,"ARIMA(1,1,1)",-756.4038628534219,-750.4929871127655,4.847775472905383,3.631092979966598,2.5412469856158677
Weintrauben,Obst & Obstkonserven,stabil,0.4480286738351324,"ARIMA(0,1,0)(0,1,1)[12]",-477.01910248671896,-473.59195835331036,11.13076593281584,7.346768405351302,5.928603677105632
Weizenmehl,Getreide & Backwaren,hoch,50.74331020812683,"ARIMA(0,1,0)(0,0,1)[12] with drift",610.1395978665765,616.0504736072329,18.879113682719797,16.8456060491837,11.055592164598654
Weißbrot,Getreide & Backwaren,mittel,35.247524752475236,"ARIMA(1,1,0) with drift",-791.5042853090674,-785.5934095684111,4.996605766403664,3.9549607086558063,2.8802649502982356
Wurstaufschnitt,Fleisch & Wurst,stabil,24.301964839710458,"ARIMA(0,1,0) with drift",717.785420540541,721.7260043676453,6.124733034045044,5.221723010322848,4.344465183261244
Wurstkonserve,Fleisch & Wurst,hoch,45.29288702928871,"ARIMA(1,1,0) with drift",-129.19219611473335,-123.28132037407698,8.368186332960315,6.894740896154327,4.9378972978570586
Zitrusfrüchte,Obst & Obstkonserven,hoch,43.07334109429568,"ARIMA(0,1,1)(0,1,1)[12]",582.4086601180156,587.5493763181286,6.446995586964918,5.61491641628616,4.915127208894447
Zubereitetes Hackfleisch,Fleisch & Wurst,hoch,48.96480331262942,"ARIMA(0,1,1) with drift",741.676391935953,747.5872676766094,2.408168634268567,1.99698199884786,1.43078974484486
Zucker,Zucker & Süßwaren,mittel,30.29087261785357,"ARIMA(0,1,0) with drift",-633.5138790038329,-629.5732951767287,63.59372818281991,55.57172063321994,41.14921530281681
"Zwiebeln, Knoblauch oder Ähnliches",Gemüse & Gemüsekonserven,hoch,75.78718783930512,"ARIMA(0,1,1)(1,1,0)[12]",-350.0385925798665,-344.89787637975354,21.584441453701853,18.319662031376463,13.690257060028419
Äpfel,Obst & Obstkonserven,mittel,30.482456140350877,"ARIMA(2,0,0)(1,1,0)[12] with drift",555.6940961890049,564.3824442804217,5.475315381822068,4.5077524756831275,3.9097389685621113
