Produkt,Kategorie,Risikogruppe,r_cpi_niveau,r_cpi_mom
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",Sonstige Nahrungsmittel,hoch,0.9662228853278599,0.2721788522612948
Kaffeepads oder Kaffeekapseln,"Kaffee, Tee & Kakao",mittel,0.9661557683038109,0.13096174707562788
Tiefgefrorener Spinat,Gemüse & Gemüsekonserven,hoch,0.9657804852239235,0.1452642554855938
Wurstkonserve,Fleisch & Wurst,hoch,0.9652874867867526,0.18212416307044918
Buttergemüse oder anderes tiefgefrorenes Gemüse,Gemüse & Gemüsekonserven,hoch,0.9642645246645204,0.04101267625087922
Bonbons,Zucker & Süßwaren,stabil,0.9637967900235084,0.28926007992156455
"Soßenpulver, Soßenbinder oder Ähnliches",Sonstige Nahrungsmittel,mittel,0.963569374954649,0.2439212065774712
Kasseler oder anderes Schweinefleisch,Fleisch & Wurst,stabil,0.963553032681704,0.17290477245550542
"Salami, Zervelatwurst oder andere Dauerwurst",Fleisch & Wurst,stabil,0.963185190786934,0.1909720339840549
Gewürze,Sonstige Nahrungsmittel,stabil,0.9627154235825848,0.3360107100978049
"Pizza, Quiches oder Ähnliches",Getreide & Backwaren,mittel,0.9626010066110354,0.33818653513509445
Gekochter Schinken oder anderes gegartes Fleisch,Fleisch & Wurst,stabil,0.9624386665201163,0.08442376012714156
Colagetränk,Säfte & Softdrinks,mittel,0.9620951929780784,0.22325609275678276
Frischkäse,Milch & Milchgetränke,mittel,0.9616525163858595,0.29743024144650754
Sportriegel,Sonstige Nahrungsmittel,stabil,0.9606894789002485,0.051591850846973875
Räucherfisch,Fisch & Meeresfrüchte,stabil,0.9604330735139113,0.30373686821121315
Nudelfertiggericht,Getreide & Backwaren,hoch,0.9603960087218234,0.09899315977196341
Joghurt,Milch & Milchgetränke,mittel,0.9602595014081191,0.20199341289053677
"Cornflakes, Müsli oder Ähnliches",Getreide & Backwaren,stabil,0.960025229547326,0.31094140382434926
Rinderhackfleisch,Fleisch & Wurst,hoch,0.9597659225397964,0.22377962946954003
Kaninchenfleisch oder anderes Wildfleisch,Fleisch & Wurst,stabil,0.9594843518007666,0.10518056077462486
Speiseeis,Zucker & Süßwaren,stabil,0.95889201787945,0.1655928067170793
Verzehrfertige Salate,Sonstige Nahrungsmittel,stabil,0.958808123621927,0.13427739380854556
Brotaufstrich auf Nougatbasis,Zucker & Süßwaren,mittel,0.9585436762297923,0.12398519480612433
Fleischwurst,Fleisch & Wurst,stabil,0.9583576920898162,0.1321088999950786
Nudeln,Getreide & Backwaren,mittel,0.9580774884621678,0.3059255610986795
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,hoch,0.9571566951395659,0.21161294659824242
Hartkäse,Milch & Milchgetränke,mittel,0.957041505237144,0.07140130080507973
"Marmelade, Konfitüre oder Gelee",Zucker & Süßwaren,mittel,0.9570084922968833,0.1881845231012254
Salzgebäck,Getreide & Backwaren,mittel,0.9569850361058081,0.18334578632757995
Instantkaffee oder Ähnliches,"Kaffee, Tee & Kakao",stabil,0.9560595710241783,0.2350731284623863
Koffeinfreie Limonade,Säfte & Softdrinks,mittel,0.9551475123505705,0.23903790813406295
Kekse,Getreide & Backwaren,hoch,0.9541973725045105,0.2013687790833282
Margarine oder Pflanzenfett,Öle & Fette,hoch,0.9537053929311208,0.3767160182954564
Früchtetee oder Kräutertee,"Kaffee, Tee & Kakao",stabil,0.952793186654079,0.0689456717772545
Schwarzer Tee oder grüner Tee,"Kaffee, Tee & Kakao",stabil,0.9512860961784164,0.02485294647943847
Quark,Milch & Milchgetränke,hoch,0.9509909928701873,0.13644338567444683
"Erdnüsse, Studentenfutter oder Ähnliches",Obst & Obstkonserven,mittel,0.9509639626131318,0.2622819133789045
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Obst & Obstkonserven,hoch,0.9502917350593256,0.25546475660997037
Wurstaufschnitt,Fleisch & Wurst,stabil,0.9490760729609571,0.05598993073030033
Tiefgefrorene Küchenkräuter,Sonstige Nahrungsmittel,stabil,0.9488299047269528,0.05234362602319542
Stangenspargel oder andere Gemüsekonserve,Gemüse & Gemüsekonserven,hoch,0.9485809974950616,0.4417992923314526
"Pommes frites oder Ähnliches, tiefgefroren",Gemüse & Gemüsekonserven,mittel,0.9485787023502094,0.1751684985116582
Schnittkäse,Milch & Milchgetränke,hoch,0.9485140823394095,0.09687809223305184
Puddingpulver,Sonstige Nahrungsmittel,stabil,0.9483513993840772,0.2429383329229574
Buttermilch oder anderes Milchgetränk,Milch & Milchgetränke,hoch,0.9475972540098486,0.18354785674139906
"Grieß, Roggenmehl oder Ähnliches",Getreide & Backwaren,hoch,0.9467636997835682,0.14923296497524174
Backmischung für Kuchen,Getreide & Backwaren,mittel,0.9464104265638585,0.08511887078016343
Kartoffelkloßmehl oder Kartoffelpüree,Gemüse & Gemüsekonserven,mittel,0.9461395991262941,-0.0160356073362105
"Getreideprodukt, vegetarisch oder vegan",Getreide & Backwaren,stabil,0.9450389963953432,0.14133502149612487
Tiefgefrorenes Fischfilet,Fisch & Meeresfrüchte,stabil,0.9440462747717767,0.29148415184401844
"Antipasti auf Gemüsebasis, ohne Oliven",Gemüse & Gemüsekonserven,stabil,0.9426075917978894,0.1866958812836826
Sahne,Milch & Milchgetränke,hoch,0.9418305011639456,0.18527224092019318
Sauerkirschen oder andere Steinobstkonserve,Obst & Obstkonserven,mittel,0.9407306937509137,-0.22286103924898695
Fertigsuppe im Beutel oder Instantbrühe,Sonstige Nahrungsmittel,stabil,0.9403911833598996,-0.017908663330226456
Tomatenketchup oder Gewürzketchup,Sonstige Nahrungsmittel,hoch,0.9402680280476513,0.31785591456521467
Frisches Geflügelfleisch,Fleisch & Wurst,hoch,0.9393329745295556,0.22208288074921273
Lammfleisch,Fleisch & Wurst,stabil,0.938679203717326,0.4064167325002039
Riegel oder andere Erzeugnisse aus Schokolade,Zucker & Süßwaren,hoch,0.9378132730764304,0.20589935178205743
"Kaugummi, Gummibärchen oder Ähnliches",Zucker & Süßwaren,mittel,0.9357768425064911,0.1580523944136371
Teilentrahmte Milch,Milch & Milchgetränke,hoch,0.9335154293774843,0.24602971949037253
"Gemüseprodukt, vegetarisch oder vegan",Gemüse & Gemüsekonserven,stabil,0.9316483046650766,0.07649779672823243
Toastbrot,Getreide & Backwaren,mittel,0.9311027916626746,0.1770384275752172
Bananen,Obst & Obstkonserven,stabil,0.9300323269593656,0.1956039004630461
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,hoch,0.927698092476591,0.17584784819882332
