Test,t,df,p_wert,ci_low,ci_high
Preisindex: Hochinflation > Pre,43.71925221634493,2248.2029099068773,5.2291186861520605e-303,13.25483357698983,Inf
Preisindex: Normalisierung vs Hoch,46.59313908829729,4391.87866423611,0,17.161963016568958,18.669653615591134
